,name,rating,reviews,cinfo
2739,Tejas Networks,4.2,246,Hardware & Networking | 1k-5k Employees | Public | 23 years old | Bangalore +17 more
2740,Hinduja Tech,3.7,246,IT Services & Consulting | 1k-5k Employees | Chennai +12 more
2741,Hyundai Glovis,4.1,246,Logistics | 201-500 Employees | Public | 22 years old | Gangnam-gu +12 more
2742,National Petroleum Construction Company,4.3,246,Oil & Gas | 501-1k Employees | 50 years old | Abu Dhabi +23 more
2743,Metric Stream Infotech,3.4,246,Internet | 1k-5k Employees | 24 years old | San Jose +2 more
2744,Yum!,4.1,246,Hospitality | 501-1k Employees | Forbes Global 2000 | 26 years old | Colonel Sanders Lane +27 more
2745,Global Indian International School,3.9,246,Education & Training | 201-500 Employees | 15 years old | Singapore +18 more
2746,Netafim Irrigation India,4.1,246,Industrial Machinery | 1k-5k Employees | 58 years old | Vadodara/Baroda +49 more
2747,MyMoneyMantra,3.4,246,Internet | 1k-5k Employees | 34 years old | Delhi +16 more
2748,Evolve Technologies & Services,4.1,246,Recruitment | 201-500 Employees | 32 years old | Pune +43 more
2749,Systems Plus,4.5,246,IT Services & Consulting | 201-500 Employees | 36 years old | Dallas +8 more
2750,Mitsuba Sical,3.8,246,Auto Components | 201-500 Employees | Public | 26 years old | Michigan +14 more
2751,Jetking Infotrain,3.6,245,EdTech | 51-200 Employees | Public | 76 years old | Mumbai +49 more
2752,Dainik Jagran,3.6,245,Media & Entertainment | 201-500 Employees | Public | 81 years old | Noida +49 more
2753,McAfee,4.1,245,Software Product | 1k-5k Employees | 36 years old | Santa Clara +8 more
2754,Sumitomo Chemical,4.1,245,Chemicals | 1k-5k Employees | Fortune India 500 | 98 years old | Chuo City +49 more
2755,SML Isuzu,4.1,245,Automobile | 501-1k Employees | Public | 38 years old | Chandigarh +42 more
2756,Corporate Infotech,3.8,245,IT Services & Consulting | 1k-5k Employees | 16 years old | Noida +29 more
2757,Vara United,3.7,245,IT Services & Consulting | 1k-5k Employees | 9 years old | Mumbai +27 more
2758,Richfeel Health & Beauty,2.7,245,Beauty & Personal Care | 501-1k Employees | 37 years old | Mumbai +37 more
2759,GSH Group,4.2,245,Facility Management Services | 501-1k Employees | 128 years old | Parsippany +30 more
2760,Bmm Ispat,3.9,245,Metals & Mining | 1k-5k Employees | Public | 47 years old | Bangalore/Bengaluru +9 more
2761,Dishman Carbogen Amcis,3.6,245,Healthcare | 1k-5k Employees | 16 years old | Bubendorf +2 more
2762,Corporate Infotech,3.8,245,IT Services & Consulting | 1k-5k Employees | 16 years old | Noida +29 more
2763,Elentec India,3.7,245,IT Services & Consulting | 11-50 Employees | 41 years old | Hwasung City +14 more
2764,Selec Controls,3.4,245,Electronics Manufacturing | 1k-5k Employees | 23 years old | Navi Mumbai +12 more
2765,DM Consultants,1.2,245,Abu Dhabi +17 more
2766,Shalimar Paints,3.8,244,Chemicals | 1k-5k Employees | Public | 121 years old | Gurgaon/Gurugram +53 more
2767,Midland Microfin Limited,4.1,244,NBFC | 1k-5k Employees | 12 years old | Jalandhar +68 more
2768,Mitsubishi Electric Automotive India,4.5,244,Automobile | 501-1k Employees (Global) | Public | 65 years old | New Delhi +12 more
2769,Rane Brake Lining,4.2,244,Auto Components | 201-500 Employees | Public | 59 years old | Chennai +15 more
2770,Markelytics Solutions,4.8,243,Analytics & KPO | 51-200 Employees | 20 years old | Bangalore/Bengaluru +4 more
2771,The Indian Hotels Company,4.3,243,Hospitality | 1k-5k Employees | Fortune India 500 | 124 years old | Mumbai +36 more
2772,Carrier Midea,3.9,243,Semiconductors | 501-1k Employees | 11 years old | Gurgaon/Gurugram +39 more
